second,pitch,note,scale
0,0.0,0,0.0
1,66.7030212,C2,1.0
2,76.33792616666666,D#2,4.0
3,0.0,0,0.0
4,68.9508148,C#2,2.0
5,181.3467126666667,F#3,7.0
6,116.2813478,A#2,11.0
7,112.08158616666667,A2,10.0
8,0.0,0,0.0
9,132.3378022,C3,1.0
10,146.37161766666668,D3,3.0
11,142.9537202,D3,3.0
12,132.8782714,C3,1.0
13,278.1087646666667,C#4,2.0
14,115.6405518,A#2,11.0
15,139.99956,C#3,2.0
16,101.6269104,G#2,9.0
17,0.0,0,0.0
18,221.20649216666666,A3,10.0
19,0.0,0,0.0
20,74.62043,D2,3.0
21,331.7909302,E4,5.0
22,130.64732659999999,C3,1.0
23,0.0,0,0.0
24,67.9225434,C#2,2.0
25,151.574771,D#3,4.0
26,0.0,0,0.0
27,0.0,0,0.0
28,0.0,0,0.0
29,173.6617584,F3,6.0
30,77.6527742,D#2,4.0
31,148.11550383333335,D3,3.0
32,95.1574982,F#2,7.0
33,141.124298,C#3,2.0
34,191.191812,G3,8.0
35,52.313281200000006,G#1,9.0
36,86.91221366666667,F2,6.0
37,131.101236,C3,1.0
38,80.1768678,E2,5.0
39,0.0,0,0.0
40,0.0,0,0.0
41,223.95682783333334,A3,10.0
42,228.8906188,A#3,11.0
43,254.8206788,C4,1.0
44,274.33487183333335,C#4,2.0
45,130.4378662,C3,1.0
46,186.28541566666664,F#3,7.0
47,370.9805298,F#4,7.0
48,378.8086244,F#4,7.0
49,392.2300566666667,G4,8.0
50,305.5684082,D#4,4.0
51,464.73953240000003,A#4,11.0
52,526.8803151666667,C5,1.0
53,260.5381774,C4,1.0
54,178.47071333333335,F3,6.0
55,477.1408018,A#4,11.0
56,0.0,0,0.0
57,611.06957,D#5,4.0
58,970.1600341999999,B5,12.0
59,0.0,0,0.0
60,0.0,0,0.0
61,133.0539306,C3,1.0
62,226.17560333333333,A3,10.0
63,0.0,0,0.0
64,0.0,0,0.0
65,56.1757915,A1,10.0
66,228.36625680000003,A#3,11.0
67,356.8426055,F4,6.0
68,249.8832152,B3,12.0
69,357.3701538,F4,6.0
70,315.30209866666667,D#4,4.0
71,198.3947632,G3,8.0
72,72.5780212,D2,3.0
73,282.2148741666667,C#4,2.0
74,351.8356566,F4,6.0
75,280.73828366666663,C#4,2.0
76,0.0,0,0.0
77,0.0,0,0.0
78,138.96139533333334,C#3,2.0
79,0.0,0,0.0
80,551.6729431666668,C#5,2.0
81,0.0,0,0.0
82,289.33082279999996,D4,3.0
83,91.5857645,F#2,7.0
84,37.0747834,D1,3.0
85,217.57536639999998,A3,10.0
86,0.0,0,0.0
87,0.0,0,0.0
88,434.61471549999993,A4,10.0
89,0.0,0,0.0
90,0.0,0,0.0
91,479.82524616666666,B4,12.0
92,67.07117919999999,C2,1.0
93,147.52562966666667,D3,3.0
94,313.5378236,D#4,4.0
95,172.05482179999998,F3,6.0
96,210.89454633333335,G#3,9.0
97,233.2813782,A#3,11.0
98,241.41204199999999,B3,12.0
99,533.5071768333333,C5,1.0
100,643.0963562,E5,5.0
101,383.7576598333333,G4,8.0
102,339.81383519999997,F4,6.0
103,153.1821258,D#3,4.0
104,65.53183483333333,C2,1.0
105,40.0775512,E1,5.0
106,208.52940883333335,G#3,9.0
107,0.0,0,0.0
108,0.0,0,0.0
109,887.4441986666667,A5,10.0
110,268.314923,C4,1.0
111,296.8786378,D4,3.0
112,162.88092550000002,E3,5.0
113,58.629180999999996,A#1,11.0
114,224.59912616666665,A3,10.0
115,224.5950806,A3,10.0
116,444.9332824,A4,10.0
117,212.3267365,G#3,9.0
118,190.6973694,G3,8.0
119,574.0699402,D5,3.0
120,254.7167155,C4,1.0
121,343.24935300000004,F4,6.0
122,345.12331133333333,F4,6.0
123,352.5656618,F4,6.0
124,161.427649,E3,5.0
125,448.9695738333333,A4,10.0
126,304.2831114,D#4,4.0
127,252.97448716666668,B3,12.0
128,137.5392824,C#3,2.0
129,195.5487976,G3,8.0
130,107.530599,A2,10.0
131,0.0,0,0.0
132,114.52351060000001,A#2,11.0
133,55.64840183333333,A1,10.0
134,382.01369619999997,G4,8.0
135,478.158755,A#4,11.0
136,232.83153080000002,A#3,11.0
137,379.5669616,F#4,7.0
138,248.69758616666664,B3,12.0
139,375.55437620000004,F#4,7.0
140,331.21210983333333,E4,5.0
141,138.4623962,C#3,2.0
142,426.1719606,G#4,9.0
143,370.94536333333326,F#4,7.0
144,741.331006,F#5,7.0
145,178.11425780000002,F3,6.0
146,117.00642649999999,A#2,11.0
147,0.0,0,0.0
148,0.0,0,0.0
149,386.37072759999995,G4,8.0
150,0.0,0,0.0
151,0.0,0,0.0
152,0.0,0,0.0
153,731.3979341666667,F#5,7.0
154,162.817749,E3,5.0
